Model,Convolution,Base,Weights,Trial,Seed,Set,Noise,LI,Level,Loss,Accuracy
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,5,10,4.689840794,0.1494
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,6,15.84893192,7.221635818,0.1016
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,7,25.11886432,7.714049816,0.1
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,8,39.81071706,5.92411232,0.1
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,9,63.09573445,4.920780659,0.1
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,10,100,4.723538876,0.1
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Contrast,0,1,0.514796674,0.8682
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Contrast,1,0.630957344,0.507020116,0.8429
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Contrast,2,0.398107171,0.754236996,0.7493
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Contrast,3,0.251188643,1.336479545,0.5431
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Contrast,4,0.158489319,2.030377388,0.3132
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Contrast,5,0.1,2.594018459,0.1572
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Contrast,6,0.063095734,3.088986874,0.096
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Contrast,7,0.039810717,3.647081614,0.0907
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Contrast,8,0.025118864,4.121360302,0.0997
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Contrast,9,0.015848932,4.437871933,0.1
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Contrast,10,0.01,4.634043217,0.1
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,0,0,0.51480186,0.8681
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,1,18,0.53172946,0.8584
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,2,36,0.676914811,0.8073
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,3,54,0.914349139,0.7246
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,4,72,1.35567677,0.5964
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,5,90,1.944045067,0.4555
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,6,108,2.59846139,0.3285
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,7,126,3.09675312,0.2593
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,8,144,3.497196913,0.2198
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,9,162,3.618371964,0.2011
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Phase Scrambling,10,180,3.741087198,0.1967
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Darken,0,0,0.514740348,0.8683
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Darken,1,-0.1,0.536474466,0.8629
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Darken,2,-0.2,0.608029902,0.8395
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Darken,3,-0.3,0.769527495,0.7871
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Darken,4,-0.4,1.082529664,0.68
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Darken,5,-0.5,1.563985229,0.5298
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Darken,6,-0.6,2.035520315,0.3788
